latitude,longitude,brightness,acq_date,acq_time,confidence,bright_t31,frp,daynight,precipitation,solar_radiation,max_temp,min_temp,vapor_pressure
47.62129,-116.02828999999998,319.69,2021-07-30,504,99,296.79,33.7,N,,,,,
61.1648,-159.2116,303.5,2016-07-16,652,24,283.0,37.5,N,,,,,
36.90282,-90.076,314.84,2021-09-11,1643,69,296.56,9.27,D,,,,,
38.8399,-120.5916,318.9,2017-12-06,1909,79,286.2,20.5,D,,,,,
35.2577,-92.8021,326.5,2013-03-27,1700,84,290.9,25.1,D,,,,,
40.1195,-94.2778,303.2,2017-02-14,1903,55,281.6,9.8,D,,,,,
62.3922,-161.0269,335.9,2015-06-25,2304,23,300.1,64.1,D,,,,,
38.4608,-97.3501,317.0,2011-04-11,1952,51,295.2,11.2,D,0.0,455.9,20.35,5.98,556.36
31.3941,-90.434,310.4,2018-10-13,1913,59,298.1,6.5,D,,,,,
39.0651,-122.1269,313.9,2019-10-11,1856,50,299.9,7.9,D,,,,,
40.8692,-109.5879,313.4,2019-10-08,1825,67,289.8,12.1,D,,,,,
29.6226,-81.3737,314.4,2012-01-06,1823,74,292.3,21.3,D,0.0,334.02,20.15,3.72,770.58
37.6459,-98.2932,304.6,2013-03-26,1934,56,291.9,4.2,D,,,,,
32.2432,-81.962,305.8,2012-01-30,1559,62,289.0,12.4,D,0.0,372.08,19.06,-1.71,538.63
37.2379,-84.8328,313.1,2012-06-21,1653,59,296.9,9.7,D,,,,,
34.9643,-94.8357,312.8,2013-03-14,1909,70,282.8,20.1,D,,,,,
39.9777,-86.8263,306.2,2012-03-24,1658,56,284.6,6.2,D,0.69,317.69,19.02,9.26,1167.66
33.4148,-110.8669,323.7,2016-04-22,2004,59,301.6,38.3,D,,,,,
44.8477,-71.0379,302.5,2014-05-08,1525,35,290.7,5.9,D,,,,,
30.6774,-84.0792,339.9,2012-03-29,1855,90,303.5,37.4,D,0.0,476.51,28.98,12.18,1418.46
44.9988,-117.2986,349.1,2015-08-28,1025,100,272.5,134.8,N,,,,,
39.8723,-86.4843,315.2,2015-07-30,1845,58,302.7,8.8,D,,,,,
32.7139,-86.6706,318.0,2011-10-25,1830,76,298.6,36.0,D,0.0,395.08,26.17,6.19,947.05
66.0025,-151.4894,337.5,2015-07-11,2318,90,299.1,78.2,D,,,,,
33.7695,-87.45100000000002,321.2,2014-03-26,1902,81,286.6,18.3,D,,,,,
46.5486,-117.5178,321.0,2021-03-11,2056,81,288.6,17.8,D,,,,,
38.256,-118.8627,403.6,2013-08-18,2018,100,316.1,1750.1,D,,,,,
45.8498,-89.6129,300.2,2018-05-12,1841,23,276.1,7.6,D,,,,,
30.3609,-82.4315,347.1,2013-05-11,1630,94,297.9,62.2,D,,,,,
31.7434,-89.37899999999998,311.4,2011-10-26,1737,66,294.0,83.3,D,0.0,388.97,26.25,6.68,979.76
42.7502,-123.5442,308.0,2013-08-02,1837,49,289.7,25.8,D,,,,,
33.1683,-89.2579,317.9,2014-08-06,1920,63,300.8,9.3,D,,,,,
31.9526,-81.2821,389.5,2017-03-29,1843,87,295.9,194.9,D,,,,,
32.69341,-81.53647,311.12,2021-10-13,1643,36,292.95,17.58,D,,,,,
32.9357,-82.6357,317.0,2021-03-08,1843,75,296.4,12.6,D,,,,,
34.1571,-88.7092,313.7,2011-09-12,1849,53,300.3,9.3,D,0.0,440.04,31.7,15.38,1746.57
37.2011,-76.5982,323.9,2017-06-11,1604,0,302.2,13.0,D,,,,,
64.85,-150.651,323.8,2021-07-02,625,83,293.7,49.7,N,,,,,
32.1758,-85.0245,320.5,2011-06-16,1623,18,303.6,8.5,D,0.0,435.58,35.54,19.48,1959.39
33.1327,-109.1043,328.9,2016-03-17,2028,77,307.2,17.5,D,,,,,
34.4379,-97.4642,317.9,2017-09-01,1732,65,302.9,10.0,D,,,,,
64.7098,-154.9445,352.0,2015-06-25,13,97,293.9,435.6,D,,,,,
48.4004,-118.7189,309.1,2015-07-02,623,76,293.2,24.4,N,,,,,
39.2782,-121.798,300.9,2018-02-09,2132,39,283.6,5.8,D,,,,,
34.914,-91.506,307.6,2021-05-13,1650,34,295.7,4.6,D,,,,,
40.2414,-123.2721,314.7,2020-09-12,1014,61,291.2,13.7,N,,,,,
40.9591,-122.4206,356.8,2018-09-05,2132,98,308.5,91.6,D,,,,,
40.9331,-87.0114,304.7,2012-11-05,1646,60,284.8,7.3,D,,,,,
33.70312,-90.33049,324.18,2021-09-12,1906,73,305.75,10.99,D,,,,,
41.9433,-116.0627,314.4,2018-07-22,919,13,285.3,35.4,N,,,,,
19.3929,-155.2726,324.0,2015-07-16,19,54,300.3,78.5,D,,,,,
31.7261,-96.2224,302.9,2017-03-02,1726,51,292.2,4.9,D,,,,,
30.3221,-86.1095,322.3,2013-12-18,1913,0,290.7,26.8,D,,,,,
41.97081,-96.65199,307.91,2021-12-08,1728,66,276.83,13.08,D,,,,,
41.5132,-108.798,302.0,2018-07-29,925,46,286.6,7.2,N,,,,,
34.231,-89.086,307.8,2021-05-06,1645,55,297.5,5.0,D,,,,,
38.6106,-78.9259,307.5,2019-09-03,1755,39,296.6,12.1,D,,,,,
32.1911,-102.0075,304.6,2019-10-05,831,61,287.9,9.8,N,,,,,
30.6422,-85.4116,309.4,2020-10-02,1600,67,294.2,26.3,D,,,,,
65.4142,-162.5523,313.9,2019-07-16,2339,73,296.1,24.9,D,,,,,
32.5094,-81.2796,309.0,2013-01-16,1913,66,292.8,22.7,D,,,,,
45.9751,-118.473,318.8,2013-05-08,2057,25,305.9,6.5,D,,,,,
38.69413,-90.14019,318.55,2021-09-14,1713,60,303.48,12.63,D,,,,,
30.1093,-93.4951,312.5,2011-03-02,1726,69,297.6,15.6,D,0.0,466.25,23.97,6.67,979.26
36.58149,-118.84337,380.61,2021-09-19,2053,94,289.92,189.78,D,,,,,
35.0557,-86.8822,318.7,2014-06-23,1856,59,299.2,8.0,D,,,,,
37.1621,-93.3226,309.5,2017-05-21,1724,49,297.6,5.7,D,,,,,
32.4306,-90.8683,313.4,2016-04-05,1920,36,301.5,5.7,D,,,,,
40.3689,-76.5811,307.8,2017-09-29,1755,64,294.6,8.4,D,,,,,
46.52594000000001,-120.29537,328.69,2021-11-06,1906,65,282.73,30.55,D,,,,,
64.446,-155.2735,314.5,2015-07-11,2125,40,294.3,16.5,D,,,,,
42.2242,-123.9398,310.1,2017-09-01,532,22,294.7,35.6,N,,,,,
31.0944,-84.6872,319.4,2013-08-12,1913,51,299.4,13.3,D,,,,,
37.8435,-81.9048,302.1,2015-03-23,1623,51,288.4,3.5,D,,,,,
40.9371,-90.4057,316.9,2012-08-06,1704,40,306.1,7.0,D,,,,,
34.7341,-97.282,317.1,2011-04-29,1939,62,300.7,7.5,D,0.0,475.25,27.05,10.89,1136.26
33.4353,-86.0512,308.8,2015-02-11,1850,68,291.2,8.4,D,,,,,
40.5748,-94.2955,301.9,2012-02-27,1800,50,279.2,38.2,D,0.0,320.59,4.66,-6.24,383.29
42.8645,-119.0772,350.6,2012-07-11,1806,94,306.1,314.2,D,,,,,
28.5777,-82.2977,347.9,2015-08-12,1638,94,297.1,103.4,D,,,,,
31.6556,-91.8763,352.2,2013-09-11,1926,91,300.2,56.2,D,,,,,
42.0587,-118.4666,339.8,2012-08-08,2150,86,314.0,156.9,D,,,,,
38.8843,-95.865,315.8,2016-03-28,2011,68,290.7,52.6,D,,,,,
31.783,-109.161,334.1,2021-05-25,1715,73,311.6,176.2,D,,,,,
43.7191,-111.3106,303.2,2015-11-23,2000,55,275.7,23.2,D,,,,,
38.5819,-97.7017,316.1,2019-07-30,1903,50,297.6,19.9,D,,,,,
32.4245,-90.467,306.4,2014-03-26,1725,64,288.0,25.4,D,,,,,
32.933,-108.2804,310.1,2020-06-21,528,63,290.9,10.0,N,,,,,
41.4557,-120.2619,302.8,2017-08-04,1056,52,285.5,46.5,N,,,,,
33.4285,-110.8664,302.3,2020-10-03,856,48,289.3,13.0,N,,,,,
19.4082,-155.2976,315.2,2014-08-27,913,88,286.3,79.4,N,,,,,
31.3394,-88.3179,307.3,2011-02-17,1932,55,296.2,10.4,D,0.0,407.28,23.59,5.12,879.57
47.9715,-113.0375,330.8,2017-09-04,426,100,286.2,234.9,N,,,,,
32.7412,-82.3982,312.1,2012-04-07,1849,62,299.2,7.4,D,0.0,529.27,23.51,4.07,816.94
44.3894,-110.818,317.6,2020-08-23,1824,69,301.3,10.5,D,,,,,
42.5033,-122.6343,337.7,2020-09-10,1951,89,305.6,119.2,D,,,,,
47.1789,-120.4317,300.3,2014-08-09,616,23,285.7,8.6,N,,,,,
30.2673,-101.5322,300.7,2020-04-24,909,33,290.4,13.0,N,,,,,
33.6632,-96.5808,300.8,2013-01-05,1933,31,280.5,4.9,D,,,,,
28.4355,-96.6645,311.3,2017-09-27,1943,35,293.1,3.2,D,,,,,
45.63444000000001,-113.88747,315.68,2021-09-14,2036,57,297.05,9.94,D,,,,,
42.2695,-88.4474,302.5,2012-10-27,1651,52,282.3,7.0,D,,,,,
40.3625,-118.2188,314.3,2017-07-05,1044,89,289.8,91.4,N,,,,,
